# hoGAMEGATA Full Verified Horror Tags (15825 tags)
# Format: Tag Name | Slug
# Source: https://gamegata.xyz

Gender | gender
Generator | generator
Ghosts | ghosts
GitHub | github
Global Game Jam | global-game-jam
Global Game Jam 2020 | global-game-jam-2020
Godot | godot
Golf | golf
Good Old Game | good-old-game
Gore | gore
Gorilla Tag | gorilla-tag
Gothic | gothic
Grand Strategy | grand-strategy
Graphical User Interface (GUI) | graphical-user-interface-gui
Gravity | gravity
Grayscale | grayscale
Great Soundtrack | great-soundtrack
Hack and Slash | hack-and-slash
Hacking | hacking
Halloween | halloween
Hand Drawn | hand-drawn
Heist | heist
Hentai | hentai
Hex Based | hex-based
Hexcrawl | hexcrawl
Hidden Object | hidden-object
High Score | high-score
High Tension | high-tension
Historical | historical
Homebrew | homebrew
Horrible | horrible
Horror | horror
Horses | horses
HyperCard | hypercard
Icons | icons
Idle | idle
Immersive | immersive
Immersive Sim | immersive-sim
Incredibox | incredibox
Incremental | incremental
Indie | indie
Industrial Horror | setting-industrial
Instrument | instrument
Interactive Fiction | interactive-fiction
Internet | internet
Investigation | investigation
Isekai | isekai
Isometric | isometric
Itch Funding | itch-funding
JRPG | jrpg
Jumpscare Heavy | jumpscare-heavy
Kickstarter | kickstarter
Kinetic Novel | kinetic-novel
Kung Fu | kung-fu
LARP | larp
LGBT | lgbt
LGBTQ+ | lgbtq-plus
LGBTQIA | lgbtqia
LOWREZJAM | lowrezjam
Leap Motion | leap-motion
Lesbian | lesbian
Level Editor | level-editor
LevelEditor | leveleditor
Life Simulation | life-simulation
LifeSim | lifesim
Liminal & Surreal | liminal-surreal
Liminal space | liminal-space
Lo-fi | lo-fi
Local Co-Op | local-co-op
Local Multiplayer | local-multiplayer
Logic | logic
Lonely / Isolated | isolated
Loot | loot
Looter Shooter | looter-shooter
Lovecraftian | lovecraftian
Lovecraftian Horror | lovecraftian-horror
Low-poly | low-poly
Ludum Dare | ludum-dare
Ludum Dare 29 | ludum-dare-29
Ludum Dare 30 | ludum-dare-30
Ludum Dare 31 | ludum-dare-31
Ludum Dare 32 | ludum-dare-32
Ludum Dare 33 | ludum-dare-33
Ludum Dare 34 | ludum-dare-34
Ludum Dare 35 | ludum-dare-35
Ludum Dare 36 | ludum-dare-36
Ludum Dare 37 | ludum-dare-37
Ludum Dare 38 | ludum-dare-38
Ludum Dare 39 | ludum-dare-39
Ludum Dare 40 | ludum-dare-40
Ludum Dare 41 | ludum-dare-41
Ludum Dare 42 | ludum-dare-42
Ludum Dare 43 | ludum-dare-43
Ludum Dare 44 | ludum-dare-44
Ludum Dare 45 | ludum-dare-45
Ludum Dare 46 | ludum-dare-46
Ludum Dare 47 | ludum-dare-47
Ludum Dare 48 | ludum-dare-48
Ludum Dare 49 | ludum-dare-49
Ludum Dare 50 | ludum-dare-50
Ludum Dare 51 | ludum-dare-51
Ludum Dare 52 | ludum-dare-52
Ludum Dare 53 | ludum-dare-53
Ludum Dare 54 | ludum-dare-54
Ludum Dare 55 | ludum-dare-55
Ludum Dare 56 | ludum-dare-56
Ludum Dare 57 | ludum-dare-57
