# hoGAMEGATA Full Registered Games Catalog (107809 games)
# Format: Title | Developer | URL
# Source: https://gamegata.xyz

 ceilings | Ion Storm | https://gamegata.xyz/game/ 4096 colors
(BFDI) Five Nights At Gelatins 4 | Random_Bozo | https://gamegata.xyz/game/itch-bfdi-five-nights-at-gelatins-4
(BURIED TAPES) The Parking | LIAR MANNEQUIN | https://gamegata.xyz/game/itch-buried-tapes-the-parking
(Baldi mod) The XQAWB Challenge | domchnidoesstuff | https://gamegata.xyz/game/itch-baldi-mod-the-xqawb-challenge
(Broken fixing soon) SCP Containment Breach Trashiest Mod Out There | I have no life...help | https://gamegata.xyz/game/itch-broken-fixing-soon-scp-containment-breach-trashiest-mod-out-there
(CANCELADO)La casa del terror eterno PC-vers. Latino | unhombre_comun | https://gamegata.xyz/game/itch-canceladola-casa-del-terror-eterno-pc-vers-latino
(CANCELED) PARODYBOX: Sprunki | Yaggz | https://gamegata.xyz/game/itch-canceled-parodybox-sprunki
(CANCELLED)Sprunkilight | IANTHEGUY2012LOL_ITCH.IO-ACCOUNT | https://gamegata.xyz/game/itch-cancelledsprunkilight
(Canceled) The Factory - Scary Thriller (Reset) | NOTDVBroker | https://gamegata.xyz/game/itch-canceled-the-factory-scary-thriller-reset
(Canceled) Winter Rain's | NOTDVBroker | https://gamegata.xyz/game/itch-canceled-winter-rains
(Cancelled) Incredibox - Spronker | Goofboy | https://gamegata.xyz/game/itch-cancelled-incredibox-spronker
(DEMO) The Toronto Brinewater Trench Incident | NAD LABS | https://gamegata.xyz/game/itch-demo-the-toronto-brinewater-trench-incident
(DEMO) There's Something Wrong With My Blind Date! [Free] [Visual Novel] [Windows] [macOS] | C2phos | https://gamegata.xyz/game/itch-theres-something-wrong-with-my-blind-date-demo
(DON'T) PRESS THE BUTTON | Fauxface | https://gamegata.xyz/game/itch-fauxface-dont-press-the-button
(DRGBASE) Indigo Park RP Nextbot | open16412 | https://gamegata.xyz/game/itch-drgbase-indigo-park-rp-nextbot
(De)Terminiert | Dominik D. | https://gamegata.xyz/game/itch-determiniert
(Demo) Escape from Baba Yaga | Independent Creator | https://gamegata.xyz/game/itch-demo-escape-from-baba-yaga
(Demo) Return to Room 719 | Detectiv | https://gamegata.xyz/game/itch-demo-return-to-room-719
(Demo) Whispers from the abyss: SOLEDAD | RAGAJ | https://gamegata.xyz/game/itch-demo-whispers-from-the-abyss-soledad
(Do)n't Step Into the Light | Stop_N_Watch_Studios | https://gamegata.xyz/game/itch-dont-step-into-the-light
(Don't) Feed Them | omegasugoi | https://gamegata.xyz/game/itch-dont-feed-them
(Don't) Open Your Eyes | Unknown | https://gamegata.xyz/game/dont-open-your-eyes
(Don´t) Speak to me | azarette | https://gamegata.xyz/game/itch-dont-speak-to-me
(F)lashlight | LORË | https://gamegata.xyz/game/itch-lor-flashlight
(FNAF) Cameras 2 | RSM Studios | https://gamegata.xyz/game/itch-fnaf-cameras-2
(Fanmade) Yubin Niiku ☜︎ - The rain of  blood | Enrben | https://gamegata.xyz/game/itch-fanmade-yubin-niiku-the-rain-of-blood
